anime_id,title,score,rank,popularity,members,favorites,episodes,type,duration,status,genres,studios
52991,Sousou no Frieren,9.26,1.0,103,1470685,91153,28.0,TV,24 min per ep,Finished Airing,"Adventure,Award Winning,Drama,Fantasy",Madhouse
61316,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,9.19,2.0,1015,278785,6098,19.0,TV,23 min per ep,Currently Airing,"Drama,Fantasy,Suspense",White Fox
61469,Steel Ball Run: JoJo no Kimyou na Bouken,9.11,4.0,1300,218034,7481,,ONA,47 min,Currently Airing,"Action,Adventure,Mystery,Supernatural",David Production
5114,Fullmetal Alchemist: Brotherhood,9.11,3.0,3,3705252,243877,64.0,TV,24 min per ep,Finished Airing,"Action,Adventure,Drama,Fantasy",Bones
9253,Steins;Gate,9.07,5.0,14,2829293,203509,24.0,TV,24 min per ep,Finished Airing,"Drama,Sci-Fi,Suspense",White Fox
57555,Chainsaw Man Movie: Reze-hen,9.06,6.0,520,508650,14487,1.0,Movie,1 hr 39 min,Finished Airing,"Action,Fantasy",MAPPA
38524,Shingeki no Kyojin Season 3 Part 2,9.05,9.0,20,2612946,63577,10.0,TV,23 min per ep,Finished Airing,"Action,Drama,Suspense",Wit Studio
28977,Gintama°,9.05,8.0,349,695204,17583,51.0,TV,24 min per ep,Finished Airing,"Action,Comedy,Sci-Fi",Bandai Namco Pictures
39486,Gintama: The Final,9.05,7.0,1506,186018,4698,1.0,Movie,1 hr 44 min,Finished Airing,"Action,Comedy,Drama,Sci-Fi",Bandai Namco Pictures
11061,Hunter x Hunter (2011),9.03,10.0,8,3210557,230548,148.0,TV,23 min per ep,Finished Airing,"Action,Adventure,Fantasy",Madhouse
9969,Gintama',9.02,12.0,408,617873,8653,51.0,TV,24 min per ep,Finished Airing,"Action,Comedy,Sci-Fi",Sunrise
15417,Gintama': Enchousen,9.02,13.0,766,360087,3188,13.0,TV,24 min per ep,Finished Airing,"Action,Comedy,Sci-Fi",Sunrise
820,Ginga Eiyuu Densetsu,9.02,11.0,757,365867,18005,110.0,OVA,26 min per ep,Finished Airing,"Drama,Sci-Fi","K-Factory,Kitty Film Mitaka Studio"
60022,One Piece Fan Letter,9.01,14.0,1698,159975,2624,1.0,TV Special,24 min,Finished Airing,"Action,Adventure,Fantasy",Toei Animation
34096,Gintama.,8.98,16.0,793,350781,2858,12.0,TV,24 min per ep,Finished Airing,"Action,Comedy,Sci-Fi",Bandai Namco Pictures
41467,Bleach: Sennen Kessen-hen,8.98,15.0,332,715955,23377,13.0,TV,24 min per ep,Finished Airing,"Action,Adventure,Supernatural",Studio Pierrot
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.95,17.0,163,1123113,33316,13.0,TV,23 min per ep,Finished Airing,"Comedy,Romance",A-1 Pictures
42938,Fruits Basket: The Final,8.93,19.0,443,568108,21437,13.0,TV,23 min per ep,Finished Airing,"Drama,Romance,Supernatural",TMS Entertainment
4181,Clannad: After Story,8.93,18.0,124,1292211,74445,24.0,TV,24 min per ep,Finished Airing,"Drama,Romance",Kyoto Animation
918,Gintama,8.93,20.0,147,1160787,62210,201.0,TV,24 min per ep,Finished Airing,"Action,Comedy,Sci-Fi",Sunrise
28851,Koe no Katachi,8.93,21.0,19,2635301,96717,1.0,Movie,2 hr 10 min,Finished Airing,"Award Winning,Drama",Kyoto Animation
2904,Code Geass: Hangyaku no Lelouch R2,8.92,22.0,50,1967200,81717,25.0,TV,24 min per ep,Finished Airing,"Award Winning,Drama,Sci-Fi",Sunrise
58514,Kusuriya no Hitorigoto 2nd Season,8.91,23.0,491,522932,8104,24.0,TV,24 min per ep,Finished Airing,"Drama,Mystery","OLM,TOHO animation STUDIO"
35180,3-gatsu no Lion 2nd Season,8.9,24.0,613,441010,15474,22.0,TV,25 min per ep,Finished Airing,Drama,Shaft
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89,25.0,1080,263676,2164,1.0,Movie,1 hr 50 min,Finished Airing,"Action,Comedy,Sci-Fi",Sunrise
19,Monster,8.89,26.0,115,1342344,62703,74.0,TV,24 min per ep,Finished Airing,"Drama,Mystery,Suspense",Madhouse
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,27.0,1246,227747,1106,14.0,TV,24 min per ep,Finished Airing,"Action,Comedy,Sci-Fi",Bandai Namco Pictures
59978,Sousou no Frieren 2nd Season,8.86,30.0,440,569831,7573,10.0,TV,24 min per ep,Finished Airing,"Adventure,Drama,Fantasy",Madhouse
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,29.0,245,879378,17497,2.0,TV Special,1 hr 12 min per ep,Finished Airing,"Action,Drama,Suspense",MAPPA
35247,Owarimonogatari 2nd Season,8.86,28.0,617,439654,9226,7.0,TV Special,22 min per ep,Finished Airing,"Comedy,Mystery,Supernatural",Shaft
54492,Kusuriya no Hitorigoto,8.85,32.0,254,863917,29285,24.0,TV,22 min per ep,Finished Airing,"Drama,Mystery","OLM,TOHO animation STUDIO"
40682,Kingdom 3rd Season,8.85,31.0,1945,135739,2840,26.0,TV,25 min per ep,Finished Airing,Action,"Studio Pierrot,Studio Signpost"
59571,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,33.0,2517,93896,677,1.0,Movie,2 hr 24 min,Finished Airing,"Action,Drama,Suspense",MAPPA
49387,Vinland Saga Season 2,8.83,34.0,251,870688,20973,24.0,TV,25 min per ep,Finished Airing,"Action,Adventure,Drama",MAPPA
37987,Violet Evergarden Movie,8.83,35.0,319,735934,9905,1.0,Movie,2 hr 20 min,Finished Airing,"Award Winning,Drama",Kyoto Animation
32281,Kimi no Na wa.,8.82,36.0,12,3044848,95703,1.0,Movie,1 hr 46 min,Finished Airing,"Award Winning,Drama",CoMix Wave Films
2921,Ashita no Joe 2,8.81,37.0,3035,69016,3465,47.0,TV,24 min per ep,Finished Airing,"Drama,Sports",Tokyo Movie Shinsha
36838,Gintama. Shirogane no Tamashii-hen,8.81,38.0,1192,239392,1242,12.0,TV,24 min per ep,Finished Airing,"Action,Comedy,Sci-Fi",Bandai Namco Pictures
40028,Shingeki no Kyojin: The Final Season,8.79,39.0,29,2308349,54206,16.0,TV,23 min per ep,Finished Airing,"Action,Drama,Suspense",MAPPA
37510,Mob Psycho 100 II,8.78,42.0,73,1739299,33923,13.0,TV,24 min per ep,Finished Airing,"Action,Comedy,Supernatural",Bones
31758,Kizumonogatari III: Reiketsu-hen,8.78,41.0,507,516420,8292,1.0,Movie,1 hr 22 min,Finished Airing,"Action,Mystery,Supernatural",Shaft
37521,Vinland Saga,8.78,43.0,61,1841524,57898,24.0,TV,24 min per ep,Finished Airing,"Action,Adventure,Drama",Wit Studio
263,Hajime no Ippo,8.78,40.0,344,700687,25516,75.0,TV,23 min per ep,Finished Airing,Sports,Madhouse
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,44.0,117,1335493,16045,10.0,TV,24 min per ep,Finished Airing,Sports,Production I.G
199,Sen to Chihiro no Kamikakushi,8.77,45.0,45,2038983,35214,1.0,Movie,2 hr 4 min,Finished Airing,"Adventure,Award Winning,Fantasy",Studio Ghibli
48583,Shingeki no Kyojin: The Final Season Part 2,8.77,46.0,87,1577662,32602,12.0,TV,23 min per ep,Finished Airing,"Action,Drama,Suspense",MAPPA
17074,Monogatari Series: Second Season,8.76,47.0,327,722456,24435,26.0,TV,25 min per ep,Finished Airing,"Comedy,Mystery,Romance,Supernatural",Shaft
